hits,txAmount,averageTA,visitors,data
9435,913458131,96815.91,5872,1443849/0001140361-17-026141/.txt
9436,41995914,4450.61,4632,312070/0001104659-17-041509/-index.htm
9445,41278603,4370.42,8999,789132/0001193125-17-216853/-index.htm
9450,40101631,4243.56,5213,1114446/0001114446-17-004160/-index.htm
9477,39651069,4183.93,5228,1114446/0001114446-17-004161/-index.htm
9500,39315657,4138.49,5254,1114446/0001114446-17-004159/-index.htm
9503,71379051,7511.21,9210,1710385/0001104659-17-042233/-index.htm
9505,32960510,3467.7,9165,1562039/0001562039-17-000022/-index.htm
9517,71422922,7504.77,9226,1710361/0001104659-17-042231/-index.htm
9531,71552411,7507.34,9231,1710333/0001104659-17-042230/-index.htm
9539,68717326,7203.83,9242,1710379/0001104659-17-042234/-index.htm
9544,28850603,3022.9,9197,1679049/0001679049-17-000013/-index.htm
9552,38512861,4031.92,5180,1114446/0001114446-17-004148/-index.htm
9553,82376503,8623.1,9251,1710377/0001104659-17-042235/-index.htm
9584,69535470,7255.37,9218,1498068/0001498068-17-000049/-index.htm
9603,49574874,5162.44,4818,1114446/0000914121-17-000839/-index.htm
9673,27784060,2872.33,9444,102109/0001144204-17-034577/-index.htm
9688,71701169,7401.03,9407,1701114/0001104659-17-042233/-index.htm
9698,71723558,7395.71,9428,1701114/0001104659-17-042231/-index.htm
9705,68894177,7098.83,9428,1701114/0001104659-17-042234/-index.htm
9714,40876296,4207.98,5245,1053092/0000950103-17-006172/-index.htm
9714,71890901,7400.75,9430,1701114/0001104659-17-042230/-index.htm
9722,44994503,4628.11,5300,1114446/0001114446-17-004156/-index.htm
9733,103245333,10607.76,9301,1701114/0000899243-17-017481/-index.htm
9739,82696257,8491.25,9456,1701114/0001104659-17-042235/-index.htm
9739,40243930,4132.24,5256,1114446/0001114446-17-004158/-index.htm
9779,46128088,4717.06,5392,1114446/0001114446-17-004151/-index.htm
9794,44989479,4593.58,5242,1114446/0001114446-17-004153/-index.htm
9819,142907149,14554.14,4653,1137360/0001325358-17-000569/-index.htm
9828,26475622,2693.9,9502,732717/9999999997-17-007269/-index.htm
9887,44971587,4548.56,5430,1114446/0001114446-17-004149/-index.htm
9909,44825400,4523.71,5348,1114446/0001114446-17-004152/-index.htm
9942,44835995,4509.76,5360,1114446/0001114446-17-004157/-index.htm
9963,46031160,4620.21,5324,1114446/0001114446-17-004154/-index.htm
9988,26917586,2694.99,9673,732717/9999999997-17-007275/-index.htm
10002,73618472,7360.38,9561,1701114/0001104659-17-042232/-index.htm
10004,46178163,4615.97,5534,1114446/0001114446-17-004150/-index.htm
10008,46061174,4602.44,5302,1114446/0001114446-17-004155/-index.htm
10010,72001820,7192.99,9578,1701114/0001104659-17-042229/-index.htm
10016,74307073,7418.84,9579,1701114/0001104659-17-042228/-index.htm
10033,76282550,7603.16,9605,1701114/0001104659-17-042236/-index.htm
10041,73166727,7286.8,9618,1701114/0001104659-17-042237/-index.htm
10061,26821231,2665.86,9705,1000177/9999999997-17-007271/-index.htm
10076,27066744,2686.26,9701,1442836/9999999997-17-007272/-index.htm
10104,34007353,3365.73,9469,917851/0001104659-17-042154/-index.htm
10108,27374656,2708.22,9714,1644963/9999999997-17-007273/-index.htm
10198,27369889,2683.85,9786,1531031/9999999997-17-007274/-index.htm
10215,43915720,4299.14,5281,1114446/0000914121-17-000842/-index.htm
10475,30277253,2890.43,10097,917851/0001104659-17-042032/-index.htm
10478,30870636,2946.23,10105,917851/0001104659-17-042031/-index.htm
10627,476380119,44827.34,4095,1174610/0001193125-17-214489/-index.htm
10713,28816652,2689.88,10310,1701114/9999999997-17-007276/-index.htm
10725,49629808,4627.49,4142,1350487/0001193125-17-214126/-index.htm
11140,26231560,2354.72,6007,1501134/0001564590-17-012987/-index.htm
11264,48778838,4330.51,5228,312070/0001104659-17-042037/-index.htm
11269,229067306,20327.21,2525,1665724/0000919574-17-005026/xslFormDX01/primary_doc.xml
11831,46297841,3913.27,3022,1665724/0000919574-17-005026/-index.htm
11994,71669700,5975.46,11956,320193/0001193125-17-167400/-index.htm
12010,68785424,5727.35,11979,320193/0001193125-17-181867/-index.htm
12258,59679625,4868.63,5521,312070/0001104659-17-042043/-index.htm
12495,70355607,5630.7,12418,320193/0001193125-17-208226/-index.htm
12624,51892635,4110.63,5544,312070/0001104659-17-042061/-index.htm
13022,34104102,2618.96,6956,1602078/0001553350-17-000806/-index.htm
13138,55300725,4209.22,6682,1114446/0000914121-17-000844/-index.htm
14153,483267280,34145.93,6985,1584509/0001584509-16-000514/armk-20160930.xml
14476,48613527,3358.22,13857,1021860/0001193125-17-215536/-index.htm
15309,76782063,5015.49,6856,1350487/0001193125-17-216453/-index.htm
15318,68871108,4496.09,6706,312070/0001104659-17-041552/-index.htm
15452,151598424,9810.93,6817,1350487/0001193125-17-216454/-index.htm
15554,33860569,2176.97,7412,1584509/0001584509-16-000514/armk-20160930.xsd
15600,26527800,1700.5,7978,1582844/0001493152-16-014991/-index.htm
15818,46450356,2936.55,7464,1584509/0001584509-16-000514/armk-20160930_cal.xml
15872,130150352,8200.0,7613,1584509/0001584509-16-000514/armk-20160930_def.xml
15881,170580030,10741.14,7521,1584509/0001584509-16-000514/armk-20160930_pre.xml
15966,235066422,14722.94,7570,1584509/0001584509-16-000514/armk-20160930_lab.xml
